age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income
53,Private,215640,HS-grad,10,Married-civ-spouse,Craft-repair,Husband,White,Male,90943,0,61,United-States,<=50K
25,Private,133091,Bachelors,7,Married-civ-spouse,Prof-specialty,Husband,Black,Male,324,0,50,United-States,<=50K
23,Private,317218,11th,10,Never-married,Exec-managerial,Husband,White,Male,5,0,19,United-States,<=50K
50,Private,199674,HS-grad,10,Never-married,Exec-managerial,Unmarried,White,Male,4,0,39,United-States,<=50K
28,Self-emp-not-inc,190727,Assoc-acdm,14,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,52,United-States,>50K
64,Federal-gov,200066,Bachelors,9,Widowed,Handlers-cleaners,Husband,White,Male,0,0,43,Greece,<=50K
24,Private,395148,11th,9,Never-married,Prof-specialty,Husband,White,Female,226,0,57,United-States,>50K
17,Private,510749,7th-8th,7,Divorced,Transport-moving,Husband,White,Male,0,2701,34,United-States,<=50K
44,Private,460610,HS-grad,7,Married-civ-spouse,Craft-repair,Other-relative,White,Female,0,4356,23,United-States,>50K
20,Private,147388,Some-college,13,Never-married,Exec-managerial,Not-in-family,Asian-Pac-Islander,Female,0,0,28,United-States,>50K
41,Private,222366,Some-college,8,Widowed,Transport-moving,Husband,White,Male,0,0,48,United-States,>50K
27,Private,216763,Some-college,10,Never-married,Adm-clerical,Husband,White,Female,0,3288,24,Germany,<=50K
63,Self-emp-not-inc,121508,Bachelors,10,Separated,Handlers-cleaners,Unmarried,White,Male,0,247,50,United-States,>50K
44,Private,26403,HS-grad,11,Married-civ-spouse,Tech-support,Husband,White,Male,6,0,48,United-States,<=50K
23,Private,316147,HS-grad,13,Never-married,Other-service,Not-in-family,White,Female,0,0,24,United-States,<=50K
19,Self-emp-not-inc,122631,Some-college,12,Married-civ-spouse,Adm-clerical,Own-child,White,Male,2852,0,37,United-States,>50K
37,Self-emp-not-inc,442873,HS-grad,12,Divorced,Prof-specialty,Not-in-family,White,Female,1337,0,31,United-States,<=50K
21,Private,207138,HS-grad,10,Divorced,Prof-specialty,Own-child,Black,Female,0,165,47,United-States,>50K
23,Private,284204,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Female,0,0,27,United-States,<=50K
32,Self-emp-not-inc,187635,Masters,11,Married-civ-spouse,Handlers-cleaners,Not-in-family,White,Male,1210,0,47,United-States,<=50K
48,Private,271328,Masters,11,Married-civ-spouse,Transport-moving,Husband,White,Female,163,0,33,United-States,>50K
45,Private,214212,HS-grad,12,Married-civ-spouse,Tech-support,Unmarried,White,Male,0,0,23,United-States,>50K
43,Private,28114,HS-grad,11,Married-civ-spouse,Sales,Husband,White,Male,0,0,36,United-States,<=50K
26,Private,168658,Some-college,9,Divorced,Exec-managerial,Unmarried,White,Male,2,4356,49,United-States,<=50K
21,Private,137569,Some-college,8,Never-married,Exec-managerial,Own-child,White,Male,3,0,49,United-States,<=50K
34,Private,426747,HS-grad,11,Never-married,Handlers-cleaners,Own-child,White,Male,18830,0,49,United-States,>50K
23,Private,220367,HS-grad,10,Never-married,Sales,Husband,Black,Female,76814,4356,62,United-States,<=50K
22,Private,242396,HS-grad,10,Married-civ-spouse,Prof-specialty,Husband,White,Female,0,4356,37,United-States,<=50K
46,Private,201716,HS-grad,12,Widowed,Adm-clerical,Husband,Asian-Pac-Islander,Female,0,0,31,United-States,<=50K
67,Private,273455,HS-grad,7,Widowed,Prof-specialty,Husband,White,Female,16740,4356,34,Portugal,>50K
17,Private,362647,9th,12,Married-civ-spouse,Sales,Unmarried,White,Female,0,0,45,United-States,>50K
68,Self-emp-not-inc,219987,HS-grad,8,Married-civ-spouse,Adm-clerical,Unmarried,White,Male,1,0,60,United-States,<=50K
45,Private,267588,Some-college,10,Never-married,Other-service,Not-in-family,White,Female,0,0,27,United-States,<=50K
