age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income
60,Federal-gov,236826,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,<=50K
24,Private,58133,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Female,0,1,40,United-States,<=50K
61,Self-emp-not-inc,93954,Assoc-voc,11,Divorced,Machine-op-inspct,Unmarried,White,Female,15,2,40,United-States,<=50K
57,Self-emp-inc,61705,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,39,0,77,United-States,<=50K
29,Private,103061,Bachelors,13,Never-married,Machine-op-inspct,Own-child,White,Male,47,0,40,United-States,<=50K
29,Private,324292,1st-4th,2,Never-married,Transport-moving,Not-in-family,White,Male,0,0,40,Mexico,<=50K
21,Private,263839,Preschool,9,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,20,Thailand,<=50K
53,State-gov,41073,HS-grad,9,Never-married,Adm-clerical,Unmarried,White,Female,6,0,40,United-States,<=50K
67,Private,181499,Some-college,10,Married-civ-spouse,Sales,Wife,White,Female,3,1,20,United-States,>50K
33,Self-emp-not-inc,78844,12th,16,Married-civ-spouse,Exec-managerial,Husband,White,Male,13,0,50,United-States,<=50K
30,Private,67755,Some-college,10,Divorced,Adm-clerical,Own-child,White,Female,14,0,40,United-States,<=50K
41,Self-emp-not-inc,140568,Assoc-acdm,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,Ecuador,<=50K
62,Private,247327,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Male,0,0,19,United-States,<=50K
20,Private,162131,Some-college,10,Never-married,Other-service,Own-child,White,Male,3,1,50,Mexico,<=50K
26,Private,207571,HS-grad,9,Married-spouse-absent,Machine-op-inspct,Not-in-family,Other,Male,2,1,40,United-States,<=50K
57,State-gov,345300,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,<=50K
32,Private,201053,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,22,0,40,United-States,>50K
