age,workclass,education,marital-status,occupation,relationship,race,sex,hours-per-week,native-country,income
34,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,>50K
25,Private,HS-grad,Never-married,Handlers-cleaners,Not-in-family,Black,Male,40,United-States,<=50K
52,Self-emp-not-inc,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,60,United-States,>50K
28,Private,Some-college,Never-married,Sales,Own-child,White,Female,35,United-States,<=50K
41,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Wife,White,Female,45,United-States,>50K
60,Private,HS-grad,Widowed,Adm-clerical,Unmarried,White,Female,40,United-States,<=50K
31,Private,Bachelors,Never-married,Tech-support,Not-in-family,Asian-Pac-Islander,Male,40,India,<=50K
47,Private,Assoc-acdm,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,>50K
23,Private,HS-grad,Never-married,Other-service,Own-child,Black,Female,25,United-States,<=50K
56,Self-emp-inc,Prof-school,Married-civ-spouse,Exec-managerial,Husband,White,Male,55,United-States,>50K
39,Private,Some-college,Divorced,Machine-op-inspct,Not-in-family,White,Male,40,United-States,<=50K
29,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,45,Canada,>50K
65,Retired,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,20,United-States,<=50K
37,Federal-gov,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,>50K
22,Private,Some-college,Never-married,Adm-clerical,Own-child,White,Female,30,United-States,<=50K
48,Private,Bachelors,Divorced,Sales,Not-in-family,White,Female,40,United-States,<=50K
30,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,40,Mexico,<=50K
44,Self-emp-not-inc,Bachelors,Married-civ-spouse,Farming-fishing,Husband,White,Male,60,United-States,<=50K
38,Private,Doctorate,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,50,China,>50K
26,Private,HS-grad,Never-married,Other-service,Not-in-family,White,Female,38,United-States,<=50K
34,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,>50K
25,Private,HS-grad,Never-married,Handlers-cleaners,Not-in-family,Black,Male,40,United-States,<=50K
52,Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,60,United-States,>50K
31,Private,Some-college,Never-married,Sales,Own-child,White,Female,35,United-States,<=50K
48,Local-gov,Masters,Divorced,Prof-specialty,Not-in-family,White,Female,40,United-States,<=50K
23,Private,HS-grad,Never-married,Other-service,Own-child,White,Female,25,United-States,<=50K
60,Private,Assoc-acdm,Married-civ-spouse,Tech-support,Husband,White,Male,40,United-States,>50K
38,Private,Doctorate,Married-civ-spouse,Prof-specialty,Wife,Asian-Pac-Islander,Female,45,India,>50K
27,Private,Bachelors,Never-married,Tech-support,Not-in-family,White,Male,40,United-States,<=50K
44,Federal-gov,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Black,Male,40,United-States,>50K
56,Private,HS-grad,Widowed,Adm-clerical,Not-in-family,White,Female,40,United-States,<=50K
29,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,45,Mexico,<=50K
65,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,>50K
21,Private,HS-grad,Never-married,Sales,Own-child,White,Female,20,United-States,<=50K
41,Private,Assoc-voc,Divorced,Machine-op-inspct,Unmarried,White,Female,40,United-States,<=50K
36,Local-gov,Bachelors,Married-civ-spouse,Protective-serv,Husband,White,Male,48,United-States,>50K
58,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,40,United-States,<=50K
30,Private,Some-college,Never-married,Adm-clerical,Not-in-family,White,Female,40,United-States,<=50K
49,Private,Masters,Married-civ-spouse,Exec-managerial,Wife,White,Female,50,United-States,>50K
26,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Female,40,United-States,<=50K
